station_id,stat_lat,stat_lon,stat_altitude
0,42.9375,10.5625,37.0
1,44.84,11.619999,8.0
2,45.32,9.42,80.0
3,45.44,12.32,1.0
4,43.6,13.339998,15.0
5,43.5,13.25,100.0
6,43.64,13.379999,10.0
7,43.64,13.379999,5.0
8,43.62,13.4,90.0
9,45.08,7.68,243.0
10,45.1,7.6999993,233.0
11,45.5,9.199999,122.0
12,45.54,9.24,137.0
13,46.62,10.859999,640.0
14,46.48,11.32,247.0
15,46.58,11.440001,1770.0
16,46.72,11.66,564.0
17,46.8,11.940001,830.0
18,44.82,9.84,210.0
19,45.9,11.039999,200.0
20,45.52,9.039999,158.0
21,45.54,10.219999,149.0
22,37.1875,15.125,300.0
23,37.125,15.1875,35.0
24,37.1875,15.1875,15.0
25,37.0625,15.25,60.0
26,44.9,8.619999,95.0
27,45.72,11.359999,190.0
28,45.06,8.859999,73.0
29,45.1,8.9,87.0
30,45.56,9.219999,154.0
31,46.06,11.459999,380.0
32,45.46,9.199999,122.0
33,45.48,9.32,123.0
34,45.7,9.639999,249.0
35,45.14,10.799999,18.0
36,44.64,10.9,39.0
37,45.84,8.799999,382.0
38,45.74,10.039999,291.0
39,45.64,10.199999,274.0
40,45.24,10.299999,51.0
41,45.66,10.379999,345.0
42,45.46,10.48,188.0
43,45.9,10.859999,73.0
44,44.22,12.059999,26.0
45,45.44,9.18,122.0
46,45.8,9.08,201.0
47,46.14,9.379999,228.0
48,45.84,9.4,214.0
49,45.7,9.4,292.0
50,45.52,9.6,125.0
51,38.1875,15.25,70.0
52,38.1875,15.3125,100.0
53,44.8,10.34,60.0
54,37.0625,14.3125,15.0
55,37.0625,14.3125,13.0
56,37.125,14.375,305.0
57,41.9375,12.5,35.0
58,41.875,12.5,37.0
59,43.4375,11.875,256.0
60,45.64,9.559999,190.0
61,45.36,9.699999,79.0
62,45.28,9.859999,70.0
63,45.28,10.0,61.0
64,45.5,10.32,147.0
65,44.44,8.84,20.0
66,44.420002,8.92,105.0
67,44.4,8.940001,45.0
68,44.4,9.0,85.0
69,43.78,11.24,41.0
70,43.78,11.279999,61.0
71,42.4375,12.125,338.0
72,41.625,12.625,81.0
73,42.375,12.875,392.0
74,41.4375,12.9375,18.0
75,41.6875,13.25,236.0
76,41.5625,13.3125,134.0
77,43.78,11.32,195.0
78,42.1875,11.9375,532.0
79,42.125,11.8125,26.0
80,42.0,12.75,89.0
81,41.75,13.0,217.0
82,41.75,13.0,220.0
83,44.48,11.359999,43.0
84,44.420002,12.179998,4.0
85,40.875,14.25,46.0
86,44.52,10.74,150.0
87,46.16,9.859999,307.0
88,46.46,10.379999,1225.0
89,45.2,9.16,77.0
90,41.125,14.8125,159.0
91,40.9375,14.8125,357.0
92,44.7,10.66,50.0
93,43.88,11.1,62.0
94,43.760002,11.24,75.0
95,43.4375,11.875,260.0
96,41.875,12.25,66.0
97,41.9375,12.5,50.0
98,41.875,12.5625,48.0
99,41.9375,12.6875,56.0
100,45.5,12.259998,1.0
101,46.06,13.24,100.0
102,45.74,6.98,1640.0
103,45.74,7.3399997,581.0
104,45.6,7.7599998,371.0
105,42.625,12.9375,948.0
106,41.75,13.3125,440.0
107,41.6875,13.6875,388.0
108,45.7,9.66,249.0
109,43.84,10.52,15.0
110,45.46,8.9,138.0
111,42.5625,12.625,128.0
112,45.46,9.199999,122.0
113,44.36,11.719999,42.0
114,45.66,9.16,221.0
115,46.04,11.119999,203.0
116,40.6875,14.75,41.0
117,44.06,12.559999,6.0
118,44.06,12.58,3.0
119,44.22,12.039999,29.0
120,45.760002,11.74,114.0
121,43.72,10.779999,16.0
122,38.125,13.3125,141.0
123,38.125,13.375,34.0
124,38.125,13.375,17.0
125,38.125,13.3125,42.0
126,45.64,13.779999,50.0
127,45.9,12.539999,21.0
128,45.18,9.139999,77.0
129,44.78,10.34,55.0
130,43.74,10.4,5.0
131,45.96,12.619999,29.0
132,45.14,7.06,499.0
133,45.0,7.5399995,268.0
134,45.18,7.56,335.0
135,44.96,7.64,231.0
136,45.16,7.6599994,257.0
137,45.14,7.7799993,202.0
138,44.28,8.440001,0.0
139,44.28,8.440001,16.0
140,44.32,8.48,12.0
141,43.25,10.875,353.0
142,44.8,10.879999,25.0
143,45.14,10.02,45.0
144,44.5,11.32,54.0
145,44.48,11.42,64.0
146,46.4,13.019999,316.0
147,45.98,13.4,62.0
148,46.04,13.219999,100.0
149,45.28,8.98,100.0
150,41.875,12.5625,28.0
151,45.56,11.539999,36.0
152,44.84,11.959999,-2.0
153,43.125,12.375,290.0
154,43.0625,12.4375,197.0
155,41.5,13.8125,39.0
156,41.5625,12.9375,15.0
157,43.88,10.26,3.0
158,43.84,10.58,10.0
159,46.14,9.559999,262.0
160,46.1,10.959999,1601.0
161,44.36,8.299999,350.0
162,41.625,13.3125,162.0
163,45.54,8.84,184.0
164,44.420002,12.219999,4.0
165,42.4375,14.1875,8.0
166,45.04,12.059999,4.0
167,45.04,11.799999,3.0
168,45.08,11.779999,7.0
169,45.64,12.599998,3.0
170,40.6875,8.5625,192.0
171,45.56,8.18,271.0
172,45.56,8.059999,405.0
173,45.54,10.24,170.0
174,46.22,13.059999,167.0
175,42.4375,14.1875,9.0
176,40.5625,9.6875,39.0
177,45.3,9.48,80.0
178,45.16,9.699999,58.0
179,45.3,9.58,64.0
180,45.4,9.279999,97.0
