fold,pollutant,n_train,n_val,n_test,best_iter,test_mae,test_rmse,test_r2,top3_feat,train_time_s,ram_delta_mb,ram_mean_mb,cpu_pct,best_params
Fold 1 — test invernale (nov–dic),CO,429149,39343,51015,295,120.96703393823672,207.52758047897584,0.7043273467783702,"lag_1h, roll_mean_6h, lag_2h",305.7,198.7,881.2,62.2,"{'n_estimators': 799, 'learning_rate': 0.0423747348183252, 'max_depth': 8, 'num_leaves': 94, 'subsample': 0.8975579024756537, 'colsample_bytree': 0.791844885719143, 'min_child_samples': 75, 'reg_alpha': 0.02038349564476067, 'reg_lambda': 0.01053683991540372}"
Fold 1 — test invernale (nov–dic),NO2,1814095,177545,221701,879,5.541288224023743,8.533696766060928,0.7136493178788796,"station_lat, station_lon, hour",4023.2,470.9,665.9,60.8,"{'n_estimators': 879, 'learning_rate': 0.11609011091240186, 'max_depth': 8, 'num_leaves': 124, 'subsample': 0.6003544061371879, 'colsample_bytree': 0.9079074133417113, 'min_child_samples': 28, 'reg_alpha': 2.096341038652321, 'reg_lambda': 0.00464970436738058}"
Fold 1 — test invernale (nov–dic),O3,1007470,100918,117136,792,6.914886323119794,10.3304927237188,0.8145400554002505,"lag_1h, temperature_2m (°C), station_lat",2164.6,290.2,562.1,57.8,"{'n_estimators': 842, 'learning_rate': 0.07965893501517994, 'max_depth': 8, 'num_leaves': 66, 'subsample': 0.81440993087162, 'colsample_bytree': 0.8117210264055124, 'min_child_samples': 54, 'reg_alpha': 0.011686831381966887, 'reg_lambda': 1.2839240096973183}"
Fold 1 — test invernale (nov–dic),PM10,349677,37817,45427,230,7.218628344096252,11.243640320816956,0.6404829906090094,"lag_1h, temperature_2m (°C), station_lon",254.5,147.4,606.0,58.1,"{'n_estimators': 404, 'learning_rate': 0.021402890825728053, 'max_depth': 8, 'num_leaves': 117, 'subsample': 0.7162665643525401, 'colsample_bytree': 0.7975546661839577, 'min_child_samples': 25, 'reg_alpha': 1.3549688941847888, 'reg_lambda': 0.7966879449834312}"
Fold 1 — test invernale (nov–dic),PM2.5,203195,21914,29249,290,6.53423561529349,10.644981221022235,0.594456120226669,"lag_1h, station_lon, roll_mean_6h",155.5,127.6,539.0,59.7,"{'n_estimators': 387, 'learning_rate': 0.012498828765871753, 'max_depth': 8, 'num_leaves': 73, 'subsample': 0.7627478132533343, 'colsample_bytree': 0.8997989038860635, 'min_child_samples': 88, 'reg_alpha': 0.08681387839594365, 'reg_lambda': 0.0035934620718256916}"
Fold 1 — test invernale (nov–dic),SO2,490608,48460,64923,570,0.4922863058078664,0.976692345088156,0.8414980944055781,"lag_1h, lag_2h, roll_mean_6h",496.9,132.0,822.8,60.0,"{'n_estimators': 655, 'learning_rate': 0.043983932531508854, 'max_depth': 8, 'num_leaves': 129, 'subsample': 0.7870872993464967, 'colsample_bytree': 0.7917190195010194, 'min_child_samples': 34, 'reg_alpha': 3.089784544843771, 'reg_lambda': 2.8997331342812727}"
Fold 2 — test estivo (giu–lug),CO,125045,54912,119344,405,49.90167153436869,98.37698427949933,0.8949109280180066,"hour, lag_1h, lag_2h",110.1,120.0,1261.3,60.6,"{'n_estimators': 731, 'learning_rate': 0.01641939828583299, 'max_depth': 7, 'num_leaves': 141, 'subsample': 0.7306770924130565, 'colsample_bytree': 0.7741521896943815, 'min_child_samples': 93, 'reg_alpha': 0.004066640577299668, 'reg_lambda': 0.00984649446686352}"
Fold 2 — test estivo (giu–lug),NO2,528638,234854,498290,923,3.2779535039919976,5.647507831437115,0.7396941099020994,"station_lat, station_lon, lag_1h",1110.8,248.4,442.1,59.7,"{'n_estimators': 941, 'learning_rate': 0.07607736625708406, 'max_depth': 8, 'num_leaves': 100, 'subsample': 0.9398790799005038, 'colsample_bytree': 0.8912745842663051, 'min_child_samples': 89, 'reg_alpha': 0.9876596939884738, 'reg_lambda': 1.103144543770025}"
Fold 2 — test estivo (giu–lug),O3,284286,132614,280137,476,8.06053149019533,11.337047945450974,0.8683143677485968,"lag_1h, temperature_2m (°C), roll_mean_6h",519.6,130.9,664.5,57.1,"{'n_estimators': 677, 'learning_rate': 0.08033443184225542, 'max_depth': 8, 'num_leaves': 108, 'subsample': 0.691557011816612, 'colsample_bytree': 0.7472956067718858, 'min_child_samples': 17, 'reg_alpha': 0.0027370860037027756, 'reg_lambda': 0.0384520211913641}"
Fold 2 — test estivo (giu–lug),PM10,97539,45828,103694,337,3.807327270021731,6.7903027448826325,0.7099185846669409,"lag_1h, day, hour",91.3,36.6,520.1,59.6,"{'n_estimators': 551, 'learning_rate': 0.016102660245626517, 'max_depth': 8, 'num_leaves': 100, 'subsample': 0.6586969271449756, 'colsample_bytree': 0.7166917052585549, 'min_child_samples': 55, 'reg_alpha': 0.01080560448197665, 'reg_lambda': 8.31213121204955}"
Fold 2 — test estivo (giu–lug),PM2.5,54702,23653,69097,120,2.8217835952422963,6.017799805562588,0.6432005500077314,"lag_1h, station_lon, temperature_2m (°C)",81.1,34.2,463.4,56.3,"{'n_estimators': 626, 'learning_rate': 0.038248316013426514, 'max_depth': 8, 'num_leaves': 83, 'subsample': 0.7171531232819348, 'colsample_bytree': 0.737531187363259, 'min_child_samples': 23, 'reg_alpha': 0.17455205573990304, 'reg_lambda': 0.013083600434930131}"
Fold 2 — test estivo (giu–lug),SO2,141870,62408,138169,409,0.4607721762881721,1.0496851596500671,0.8470001378829423,"lag_1h, roll_mean_6h, lag_2h",209.8,92.8,724.5,58.9,"{'n_estimators': 998, 'learning_rate': 0.03672379576460172, 'max_depth': 8, 'num_leaves': 42, 'subsample': 0.6375485450444661, 'colsample_bytree': 0.9399195990091103, 'min_child_samples': 74, 'reg_alpha': 1.9201194396189054, 'reg_lambda': 0.007919674850390822}"
